insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
2019-04-16T09:33:08Z,MADRID,BARCELONA,2019-04-20T16:30:00Z,2019-04-20T19:15:00Z,AVE,107.7,Turista,Flexible
2019-04-21T03:35:28Z,BARCELONA,MADRID,2019-04-26T07:05:00Z,2019-04-26T09:50:00Z,AVE,98,Preferente,Promo
2019-04-12T13:22:19Z,SEVILLA,MADRID,2019-04-18T13:40:00Z,2019-04-18T16:10:00Z,AVE,NA,Turista,Promo
2019-04-12T11:28:16Z,SEVILLA,MADRID,2019-04-17T07:40:00Z,2019-04-17T10:05:00Z,AVE,NA,Turista,Promo
2019-04-14T03:28:28Z,SEVILLA,MADRID,2019-04-28T08:45:00Z,2019-04-28T20:16:00Z,MD,52.5,Turista con enlace,Flexible
2019-04-23T21:05:34Z,VALENCIA,MADRID,2019-04-29T06:38:00Z,2019-04-29T14:20:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-13T02:31:10Z,MADRID,BARCELONA,2019-04-29T20:30:00Z,2019-04-29T23:40:00Z,AVE,NA,Turista,Promo
2019-04-18T21:46:42Z,MADRID,BARCELONA,2019-04-29T10:30:00Z,2019-04-29T13:15:00Z,AVE,75.4,Turista,Promo
2019-04-23T06:34:49Z,SEVILLA,MADRID,2019-04-23T16:15:00Z,2019-04-23T18:54:00Z,AVE,NA,Turista,Flexible
2019-04-16T12:26:06Z,VALENCIA,MADRID,2019-04-30T17:10:00Z,2019-04-30T18:50:00Z,AVE,33.65,Turista,Promo
2019-04-21T19:00:26Z,VALENCIA,MADRID,2019-04-28T16:15:00Z,2019-04-28T17:55:00Z,AVE,57.75,Turista,Promo
2019-04-17T17:00:27Z,VALENCIA,MADRID,2019-04-23T06:30:00Z,2019-04-23T08:22:00Z,AVE,66.55,Preferente,Promo
2019-04-26T01:18:41Z,SEVILLA,MADRID,2019-04-30T12:18:00Z,2019-04-30T14:56:00Z,ALVIA,NA,Turista,Promo
2019-04-12T23:23:19Z,MADRID,SEVILLA,2019-04-19T09:00:00Z,2019-04-19T11:38:00Z,AVE,NA,Preferente,Promo
2019-04-21T14:03:00Z,MADRID,SEVILLA,2019-04-25T20:35:00Z,2019-04-25T23:15:00Z,AVE,60.3,Turista,Promo
2019-04-13T12:13:05Z,MADRID,SEVILLA,2019-04-18T12:00:00Z,2019-04-18T14:32:00Z,AVE,NA,Turista con enlace,Flexible
2019-04-18T07:05:19Z,BARCELONA,MADRID,2019-04-29T18:25:00Z,2019-04-29T20:55:00Z,AVE,68.65,Turista,Promo
2019-04-28T03:38:03Z,VALENCIA,MADRID,2019-04-30T15:10:00Z,2019-04-30T17:03:00Z,AVE,51.15,Turista,Promo
2019-04-23T21:34:08Z,MADRID,SEVILLA,2019-04-24T10:00:00Z,2019-04-24T12:32:00Z,AVE,76.3,Turista,Flexible
2019-04-20T13:08:41Z,MADRID,BARCELONA,2019-04-24T16:30:00Z,2019-04-24T19:15:00Z,AVE,129.3,Turista Plus,Flexible
2019-04-19T10:09:54Z,MADRID,BARCELONA,2019-04-22T15:00:00Z,2019-04-22T17:30:00Z,AVE,214.2,Preferente,Flexible
2019-04-27T13:05:18Z,MADRID,SEVILLA,2019-04-29T09:00:00Z,2019-04-29T11:38:00Z,AVE,76.3,Turista,Flexible
2019-04-16T15:26:11Z,MADRID,BARCELONA,2019-04-29T20:30:00Z,2019-04-29T23:40:00Z,AVE,58.15,Turista,Promo
2019-04-21T08:53:40Z,BARCELONA,MADRID,2019-04-30T12:00:00Z,2019-04-30T15:10:00Z,AVE,85.1,Turista,Promo
2019-04-13T08:14:16Z,MADRID,SEVILLA,2019-04-21T08:30:00Z,2019-04-21T11:14:00Z,ALVIA,NA,Turista,Flexible
2019-04-15T21:13:47Z,MADRID,VALENCIA,2019-04-30T14:10:00Z,2019-04-30T16:03:00Z,AVE,45.3,Turista,Promo
2019-04-15T05:34:31Z,MADRID,BARCELONA,2019-04-19T18:30:00Z,2019-04-19T21:20:00Z,AVE,85.1,Turista,Promo
2019-04-24T08:11:20Z,BARCELONA,MADRID,2019-04-26T08:00:00Z,2019-04-26T11:10:00Z,AVE,75.4,Turista,Promo
