insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
2019-04-16T06:21:42Z,SEVILLA,MADRID,2019-06-02T20:15:00Z,2019-06-02T22:36:00Z,AVE,72.3,Turista Plus,Promo
2019-04-11T21:50:34Z,MADRID,SEVILLA,2019-06-01T12:00:00Z,2019-06-01T14:32:00Z,AVE,69.35,Preferente,Promo
2019-04-15T18:01:06Z,BARCELONA,MADRID,2019-06-02T14:00:00Z,2019-06-02T17:10:00Z,AVE,75.4,Turista,Promo
2019-04-19T18:13:01Z,VALENCIA,MADRID,2019-06-06T06:38:00Z,2019-06-06T14:20:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-07T15:13:26Z,MADRID,BARCELONA,2019-06-29T07:30:00Z,2019-06-29T10:40:00Z,AVE,66.75,Turista,Promo
2019-05-09T03:33:25Z,BARCELONA,MADRID,2019-06-11T13:25:00Z,2019-06-11T16:10:00Z,AVE,75.4,Turista,Promo
2019-05-04T21:02:28Z,MADRID,SEVILLA,2019-06-01T10:00:00Z,2019-06-01T12:32:00Z,AVE,60.3,Turista,Promo
2019-04-20T00:42:38Z,MADRID,VALENCIA,2019-06-12T16:05:00Z,2019-06-12T22:47:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-09T17:03:30Z,MADRID,SEVILLA,2019-06-13T09:45:00Z,2019-06-13T12:27:00Z,INTERCITY,62.2,Turista,Flexible
2019-04-18T18:26:05Z,SEVILLA,MADRID,2019-06-02T08:45:00Z,2019-06-02T11:15:00Z,AVE,69.4,Preferente,Promo
2019-04-20T08:07:17Z,BARCELONA,MADRID,2019-06-01T12:00:00Z,2019-06-01T15:10:00Z,AVE,75.4,Turista,Promo
2019-04-17T19:13:56Z,MADRID,BARCELONA,2019-06-02T19:00:00Z,2019-06-02T21:30:00Z,AVE,98.55,Preferente,Promo
2019-05-05T09:07:52Z,VALENCIA,MADRID,2019-06-06T09:50:00Z,2019-06-06T17:28:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-12T17:01:02Z,MADRID,VALENCIA,2019-06-02T17:10:00Z,2019-06-02T18:54:00Z,AVE,NA,Preferente,Promo
2019-05-01T15:20:22Z,VALENCIA,MADRID,2019-06-05T14:50:00Z,2019-06-05T22:30:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-09T09:02:30Z,MADRID,SEVILLA,2019-06-27T16:00:00Z,2019-06-27T18:30:00Z,AVE,76.3,Turista,Flexible
2019-04-24T21:12:36Z,VALENCIA,MADRID,2019-06-22T14:50:00Z,2019-06-22T22:17:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-21T22:13:23Z,SEVILLA,MADRID,2019-06-02T16:15:00Z,2019-06-02T18:54:00Z,AVE,79.65,Preferente,Promo
2019-04-17T13:22:18Z,VALENCIA,MADRID,2019-06-01T06:38:00Z,2019-06-01T13:37:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-23T14:08:04Z,VALENCIA,MADRID,2019-06-01T17:10:00Z,2019-06-01T18:50:00Z,AVE,33.65,Turista,Promo
2019-04-26T15:25:41Z,BARCELONA,MADRID,2019-06-02T12:50:00Z,2019-06-02T15:45:00Z,AVE-TGV,112.55,Preferente,Promo
2019-05-08T05:29:19Z,BARCELONA,MADRID,2019-06-17T21:15:00Z,2019-06-18T00:02:00Z,AVE,58.15,Turista,Promo
2019-05-09T21:15:08Z,MADRID,BARCELONA,2019-06-26T06:10:00Z,2019-06-26T08:40:00Z,AVE,85.1,Turista,Promo
2019-05-09T13:13:04Z,BARCELONA,MADRID,2019-06-30T20:00:00Z,2019-06-30T23:10:00Z,AVE,98,Preferente,Promo
2019-04-14T19:12:18Z,SEVILLA,MADRID,2019-06-02T19:19:00Z,2019-06-02T21:59:00Z,INTERCITY,62.2,Turista,Flexible
2019-04-28T03:35:16Z,VALENCIA,MADRID,2019-06-12T09:50:00Z,2019-06-12T17:28:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-08T23:30:53Z,MADRID,VALENCIA,2019-06-02T09:40:00Z,2019-06-02T11:24:00Z,AVE,27.8,Turista,Promo
2019-04-22T00:09:01Z,VALENCIA,MADRID,2019-06-03T14:50:00Z,2019-06-03T22:30:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-06T15:36:44Z,BARCELONA,MADRID,2019-06-05T09:03:00Z,2019-06-05T18:07:00Z,R. EXPRES,43.25,Turista,Adulto ida
2019-05-02T05:17:58Z,MADRID,BARCELONA,2019-06-02T13:25:00Z,2019-06-02T16:24:00Z,AVE-TGV,90.5,Turista Plus,Promo
2019-04-24T06:34:25Z,MADRID,VALENCIA,2019-06-02T18:40:00Z,2019-06-02T20:20:00Z,AVE,66.55,Preferente,Promo
2019-04-17T01:01:15Z,MADRID,VALENCIA,2019-06-12T12:21:00Z,2019-06-12T19:04:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-23T05:28:16Z,SEVILLA,MADRID,2019-06-02T12:40:00Z,2019-06-02T15:23:00Z,AVE,69.4,Preferente,Promo
2019-04-21T04:57:49Z,VALENCIA,MADRID,2019-06-02T10:40:00Z,2019-06-02T12:27:00Z,AVE,51.15,Turista,Promo
2019-04-28T23:10:57Z,MADRID,SEVILLA,2019-06-02T13:10:00Z,2019-06-02T20:51:00Z,MD-LD,34.35,Turista con enlace,Promo +
2019-05-06T23:43:22Z,MADRID,BARCELONA,2019-06-19T09:30:00Z,2019-06-19T12:34:00Z,AVE,85.1,Turista,Promo
2019-05-07T13:13:36Z,MADRID,BARCELONA,2019-06-27T11:30:00Z,2019-06-27T14:40:00Z,AVE,66.77,Turista,Promo
2019-05-02T14:10:35Z,SEVILLA,MADRID,2019-06-02T18:45:00Z,2019-06-02T21:17:00Z,AVE,76.3,Turista,Flexible
2019-05-03T17:57:57Z,PONFERRADA,MADRID,2019-06-02T17:15:00Z,2019-06-02T23:10:00Z,MD-LD,39.95,Turista con enlace,Promo +
2019-05-08T23:05:02Z,MADRID,BARCELONA,2019-06-16T08:30:00Z,2019-06-16T11:20:00Z,AVE,85.1,Turista,Promo
2019-04-23T15:25:13Z,MADRID,SEVILLA,2019-06-01T18:00:00Z,2019-06-01T20:32:00Z,AVE,47.3,Turista,Promo
2019-05-05T01:31:10Z,MADRID,VALENCIA,2019-06-04T12:21:00Z,2019-06-04T19:04:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-16T21:01:41Z,BARCELONA,MADRID,2019-06-02T16:25:00Z,2019-06-02T18:55:00Z,AVE,100.4,Turista,Promo
2019-04-17T20:01:35Z,BARCELONA,MADRID,2019-06-01T08:25:00Z,2019-06-01T10:55:00Z,AVE,78.8,Turista,Promo
2019-04-30T13:30:58Z,VALENCIA,MADRID,2019-06-13T09:50:00Z,2019-06-13T17:28:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-17T18:31:33Z,MADRID,VALENCIA,2019-06-02T18:40:00Z,2019-06-02T20:20:00Z,AVE,66.55,Preferente,Promo
2019-05-09T03:12:56Z,MADRID,BARCELONA,2019-06-28T08:30:00Z,2019-06-28T11:20:00Z,AVE,85.1,Turista,Promo
2019-04-28T21:06:24Z,VALENCIA,MADRID,2019-06-18T06:38:00Z,2019-06-18T14:20:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-08T15:44:18Z,MADRID,BARCELONA,2019-06-15T09:30:00Z,2019-06-15T12:34:00Z,AVE,85.1,Turista,Promo
2019-05-07T09:47:56Z,BARCELONA,MADRID,2019-06-30T18:25:00Z,2019-06-30T20:55:00Z,AVE,81.4,Preferente,Promo
2019-04-17T07:29:32Z,VALENCIA,MADRID,2019-06-07T06:38:00Z,2019-06-07T14:20:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-20T08:18:53Z,MADRID,VALENCIA,2019-06-05T06:08:00Z,2019-06-05T12:55:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-06T13:21:56Z,VALENCIA,MADRID,2019-06-23T09:50:00Z,2019-06-23T16:58:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-02T05:21:23Z,VALENCIA,MADRID,2019-06-07T14:50:00Z,2019-06-07T22:04:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-05-06T21:45:28Z,MADRID,BARCELONA,2019-06-02T08:40:00Z,2019-06-02T14:08:00Z,AVE-LD,NA,Turista,Flexible
2019-05-08T17:12:10Z,MADRID,BARCELONA,2019-06-20T05:50:00Z,2019-06-20T08:55:00Z,AVE,32.3,Turista,Promo
2019-04-30T17:21:07Z,SEVILLA,MADRID,2019-06-01T21:00:00Z,2019-06-01T23:52:00Z,AV City,52.2,Turista Plus,Promo
2019-05-07T09:04:11Z,MADRID,SEVILLA,2019-06-01T12:00:00Z,2019-06-01T14:32:00Z,AVE,76.3,Turista,Flexible
2019-04-27T21:19:57Z,PONFERRADA,MADRID,2019-06-02T17:15:00Z,2019-06-02T23:03:00Z,MD-AVE,39.95,Turista con enlace,Promo +
2019-04-21T16:18:24Z,VALENCIA,MADRID,2019-06-03T14:50:00Z,2019-06-03T22:30:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-17T21:01:38Z,BARCELONA,MADRID,2019-06-02T08:00:00Z,2019-06-02T11:10:00Z,AVE,85.1,Turista,Promo
2019-04-24T19:17:37Z,MADRID,VALENCIA,2019-06-16T12:42:00Z,2019-06-16T19:04:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-19T15:40:41Z,MADRID,BARCELONA,2019-06-02T21:25:00Z,2019-06-02T23:55:00Z,AVE,75.4,Turista,Promo
2019-04-23T06:36:51Z,MADRID,VALENCIA,2019-06-06T12:21:00Z,2019-06-06T19:04:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-30T21:14:25Z,VALENCIA,MADRID,2019-06-02T14:50:00Z,2019-06-02T22:17:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-22T19:29:44Z,MADRID,VALENCIA,2019-06-03T16:05:00Z,2019-06-03T22:47:00Z,REGIONAL,28.35,Turista,Adulto ida
