insert_date,origin,destination,start_date,end_date,train_type,price,train_class,fare
2019-04-12T20:17:04Z,MADRID,SEVILLA,2019-05-31T09:00:00Z,2019-05-31T11:38:00Z,AVE,NA,Preferente,Promo
2019-05-02T07:03:34Z,SEVILLA,MADRID,2019-05-28T12:18:00Z,2019-05-28T14:56:00Z,ALVIA,NA,Turista,Promo
2019-04-13T06:03:43Z,MADRID,BARCELONA,2019-05-04T12:30:00Z,2019-05-04T15:30:00Z,AVE,NA,Turista Plus,Promo
2019-04-17T02:15:47Z,MADRID,VALENCIA,2019-05-12T10:40:00Z,2019-05-12T12:20:00Z,AVE,39.45,Turista,Promo
2019-04-23T12:10:05Z,MADRID,BARCELONA,2019-05-22T11:30:00Z,2019-05-22T14:40:00Z,AVE,85.1,Turista,Promo
2019-04-29T23:27:25Z,VALENCIA,MADRID,2019-05-22T17:30:00Z,2019-05-22T23:58:00Z,MD-LD,28.1,Turista con enlace,Promo +
2019-04-21T13:22:43Z,VALENCIA,MADRID,2019-05-27T07:40:00Z,2019-05-27T09:20:00Z,AVE,51.15,Turista,Promo
2019-05-03T07:31:04Z,SEVILLA,MADRID,2019-05-31T08:45:00Z,2019-05-31T11:15:00Z,AVE,60.3,Turista,Promo
2019-04-17T03:13:14Z,MADRID,BARCELONA,2019-05-29T19:30:00Z,2019-05-29T22:40:00Z,AVE,66.75,Turista,Promo
2019-04-16T04:35:59Z,MADRID,SEVILLA,2019-05-21T08:00:00Z,2019-05-21T10:32:00Z,AVE,53.4,Turista,Promo
2019-04-28T17:10:28Z,MADRID,BARCELONA,2019-05-24T12:30:00Z,2019-05-24T15:30:00Z,AVE,102.15,Turista Plus,Promo
2019-04-23T06:22:46Z,VALENCIA,MADRID,2019-05-30T06:38:00Z,2019-05-30T14:20:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-11T22:52:32Z,MADRID,SEVILLA,2019-05-17T13:30:00Z,2019-05-17T16:05:00Z,ALVIA,NA,Preferente,Promo
2019-04-13T03:07:26Z,MADRID,BARCELONA,2019-05-31T19:30:00Z,2019-05-31T22:40:00Z,AVE,NA,Turista,Promo
2019-04-17T22:34:31Z,MADRID,VALENCIA,2019-05-23T15:30:00Z,2019-05-23T22:31:00Z,AVE-MD,71,Turista con enlace,Flexible
2019-05-07T21:16:52Z,BARCELONA,MADRID,2019-05-21T06:40:00Z,2019-05-21T09:25:00Z,AVE,69.8,Turista Plus,Promo
2019-04-30T19:12:42Z,BARCELONA,MADRID,2019-05-27T17:00:00Z,2019-05-27T19:45:00Z,AVE,107.7,Turista,Flexible
2019-05-03T05:16:44Z,SEVILLA,MADRID,2019-05-31T08:45:00Z,2019-05-31T11:15:00Z,AVE,60.3,Turista,Promo
2019-04-27T05:44:04Z,SEVILLA,MADRID,2019-05-27T13:40:00Z,2019-05-27T16:10:00Z,AVE,47.3,Turista,Promo
2019-04-24T21:15:21Z,VALENCIA,MADRID,2019-05-27T21:05:00Z,2019-05-27T23:32:00Z,INTERCITY,29.9,Turista,Promo
2019-04-24T05:16:28Z,SEVILLA,MADRID,2019-05-01T09:50:00Z,2019-05-01T12:36:00Z,ALVIA,NA,Turista,Promo
2019-04-14T20:09:13Z,MADRID,SEVILLA,2019-05-25T11:05:00Z,2019-05-25T13:41:00Z,ALVIA,NA,Turista,Flexible
2019-05-08T23:19:20Z,SEVILLA,MADRID,2019-05-10T19:15:00Z,2019-05-10T21:36:00Z,AVE,76.3,Turista,Flexible
2019-04-15T17:13:25Z,BARCELONA,MADRID,2019-05-19T18:00:00Z,2019-05-19T21:10:00Z,AVE,80.15,Turista Plus,Promo
2019-04-14T11:20:05Z,MADRID,VALENCIA,2019-05-07T12:21:00Z,2019-05-07T19:04:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-20T01:04:01Z,BARCELONA,MADRID,2019-05-21T12:00:00Z,2019-05-21T15:10:00Z,AVE,107.7,Turista,Flexible
2019-04-14T17:18:33Z,MADRID,VALENCIA,2019-05-21T07:40:00Z,2019-05-21T09:20:00Z,AVE,57.75,Turista,Promo
2019-04-12T12:22:48Z,SEVILLA,MADRID,2019-05-21T12:40:00Z,2019-05-21T15:23:00Z,AVE,NA,Turista,Promo
2019-04-15T05:17:38Z,PONFERRADA,MADRID,2019-05-15T11:28:00Z,2019-05-15T16:00:00Z,LD,42.75,Turista con enlace,Promo +
2019-05-06T13:12:10Z,MADRID,BARCELONA,2019-05-14T14:10:00Z,2019-05-14T20:40:00Z,AVE-LD,NA,Turista,Promo
2019-04-22T14:16:45Z,VALENCIA,MADRID,2019-05-29T07:10:00Z,2019-05-29T08:51:00Z,AVE,57.75,Turista,Promo
2019-04-21T20:10:14Z,BARCELONA,MADRID,2019-05-05T16:00:00Z,2019-05-05T19:10:00Z,AVE,143.4,Preferente,Promo
2019-04-20T04:16:06Z,MADRID,VALENCIA,2019-05-23T18:40:00Z,2019-05-23T20:20:00Z,AVE,57.75,Turista,Promo
2019-04-24T23:40:57Z,PONFERRADA,MADRID,2019-05-06T11:28:00Z,2019-05-06T16:00:00Z,LD,42.75,Turista con enlace,Promo +
2019-04-18T23:06:15Z,MADRID,SEVILLA,2019-05-12T15:00:00Z,2019-05-12T17:21:00Z,AVE,76.3,Turista,Flexible
2019-05-08T21:48:41Z,BARCELONA,MADRID,2019-05-16T06:40:00Z,2019-05-16T09:25:00Z,AVE,75.4,Turista,Promo
2019-04-26T15:16:35Z,VALENCIA,MADRID,2019-05-08T17:30:00Z,2019-05-08T23:58:00Z,MD-LD,28.1,Turista con enlace,Promo +
2019-04-19T04:19:10Z,MADRID,BARCELONA,2019-05-14T09:00:00Z,2019-05-14T11:45:00Z,AVE,85.1,Turista,Promo
2019-04-22T09:10:14Z,VALENCIA,MADRID,2019-05-07T06:30:00Z,2019-05-07T08:22:00Z,AVE,45.3,Turista,Promo
2019-04-15T02:16:55Z,BARCELONA,MADRID,2019-05-22T07:00:00Z,2019-05-22T09:30:00Z,AVE,78.8,Turista,Promo
2019-04-29T09:16:36Z,SEVILLA,MADRID,2019-05-20T07:40:00Z,2019-05-20T10:05:00Z,AVE,69.4,Preferente,Promo
2019-04-13T01:22:00Z,SEVILLA,MADRID,2019-05-21T19:45:00Z,2019-05-21T22:17:00Z,AVE,NA,Turista,Promo
2019-04-20T06:07:35Z,MADRID,BARCELONA,2019-05-16T17:00:00Z,2019-05-16T19:30:00Z,AVE,78.8,Turista,Promo
2019-04-16T22:12:35Z,MADRID,BARCELONA,2019-05-27T05:50:00Z,2019-05-27T08:55:00Z,AVE,58.15,Turista,Promo
2019-04-21T14:45:15Z,MADRID,BARCELONA,2019-05-05T18:30:00Z,2019-05-05T21:20:00Z,AVE,107.7,Turista,Flexible
2019-05-02T01:19:51Z,VALENCIA,MADRID,2019-05-04T17:10:00Z,2019-05-04T18:50:00Z,AVE,NA,Preferente,Promo
2019-05-09T03:00:26Z,VALENCIA,MADRID,2019-05-15T17:10:00Z,2019-05-15T18:50:00Z,AVE,51.15,Turista,Promo
2019-04-25T01:43:05Z,BARCELONA,MADRID,2019-05-31T18:00:00Z,2019-05-31T21:10:00Z,AVE,102.15,Turista Plus,Promo
2019-04-23T18:05:07Z,MADRID,VALENCIA,2019-05-26T16:30:00Z,2019-05-26T22:47:00Z,REGIONAL,28.35,Turista,Adulto ida
2019-04-11T22:07:11Z,MADRID,BARCELONA,2019-05-09T21:25:00Z,2019-05-09T23:55:00Z,AVE,66.75,Turista,Promo
2019-04-16T23:04:36Z,BARCELONA,MADRID,2019-05-11T06:05:00Z,2019-05-11T09:15:00Z,AVE,75.4,Turista,Promo
2019-04-13T04:29:31Z,MADRID,VALENCIA,2019-05-22T11:55:00Z,2019-05-22T13:35:00Z,AVE,NA,Turista,Promo
2019-05-02T21:32:44Z,PONFERRADA,MADRID,2019-05-28T13:44:00Z,2019-05-28T19:21:00Z,LD,32.9,Turista con enlace,Promo
2019-05-02T11:45:30Z,MADRID,BARCELONA,2019-05-04T06:20:00Z,2019-05-04T09:29:00Z,AVE,98,Preferente,Promo
2019-04-17T20:37:38Z,PONFERRADA,MADRID,2019-05-24T06:11:00Z,2019-05-24T11:57:00Z,LD,NA,Turista,Promo
2019-05-02T21:42:24Z,MADRID,SEVILLA,2019-05-15T13:00:00Z,2019-05-15T15:40:00Z,AVE,60.3,Turista,Promo
2019-04-15T00:22:56Z,SEVILLA,MADRID,2019-05-31T19:19:00Z,2019-05-31T21:59:00Z,INTERCITY,62.2,Turista,Flexible
2019-04-12T05:01:02Z,MADRID,SEVILLA,2019-05-09T09:45:00Z,2019-05-09T12:27:00Z,INTERCITY,62.2,Turista,Flexible
2019-04-18T04:23:33Z,BARCELONA,MADRID,2019-05-24T12:00:00Z,2019-05-24T15:10:00Z,AVE,66.75,Turista,Promo
2019-04-30T23:07:16Z,SEVILLA,MADRID,2019-05-13T09:50:00Z,2019-05-13T12:36:00Z,ALVIA,NA,Turista,Flexible
2019-04-12T15:24:40Z,SEVILLA,MADRID,2019-05-21T15:45:00Z,2019-05-21T18:15:00Z,AVE,NA,Turista,Promo
2019-04-25T09:04:20Z,MADRID,VALENCIA,2019-05-14T21:10:00Z,2019-05-14T23:03:00Z,AVE,21.95,Turista,Promo
2019-04-18T00:01:39Z,MADRID,PONFERRADA,2019-05-14T12:20:00Z,2019-05-14T18:52:00Z,LD-MD,34.35,Turista con enlace,Promo +
2019-04-24T23:08:25Z,MADRID,SEVILLA,2019-05-08T09:45:00Z,2019-05-08T12:27:00Z,INTERCITY,62.2,Turista,Flexible
2019-04-18T16:09:59Z,MADRID,BARCELONA,2019-05-23T17:30:00Z,2019-05-23T20:40:00Z,AVE,75.4,Turista,Promo
2019-05-06T19:11:21Z,MADRID,PONFERRADA,2019-05-17T17:30:00Z,2019-05-17T21:33:00Z,ALVIA,55.8,Turista,Flexible
2019-04-19T15:42:48Z,MADRID,BARCELONA,2019-05-14T17:30:00Z,2019-05-14T20:40:00Z,AVE,90.5,Turista Plus,Promo
2019-04-17T20:20:55Z,MADRID,SEVILLA,2019-05-17T19:30:00Z,2019-05-17T22:05:00Z,AVE,76.3,Turista,Flexible
2019-04-25T19:26:30Z,VALENCIA,MADRID,2019-05-21T20:15:00Z,2019-05-21T21:55:00Z,AVE,27.8,Turista,Promo
2019-04-28T19:24:31Z,VALENCIA,MADRID,2019-05-26T17:30:00Z,2019-05-26T19:43:00Z,INTERCITY,43.75,Turista,Promo
2019-04-16T15:23:26Z,MADRID,BARCELONA,2019-05-24T08:30:00Z,2019-05-24T11:15:00Z,AVE,85.1,Turista,Promo
2019-04-30T09:39:53Z,MADRID,PONFERRADA,2019-05-10T17:30:00Z,2019-05-10T21:33:00Z,ALVIA,55.8,Turista,Flexible
2019-04-22T04:37:46Z,MADRID,VALENCIA,2019-05-30T09:40:00Z,2019-05-30T11:24:00Z,AVE,39.45,Turista,Promo
