Date,AveragePrice,TotalVolume
2015-12-27,0.9,5040365.47
2015-12-20,0.94,4695737.21
2015-12-13,0.87,5259354.3
2015-12-06,0.78,5775536.27
2015-11-29,0.91,4575710.62
2015-11-22,0.92,4804278.16
2015-11-15,0.83,5755190.69
2015-11-08,0.98,5148983.51
2015-11-01,0.95,5830427.96
2015-10-25,1.12,4592461.81
2015-10-18,1.07,4999031.79
2015-10-11,1.08,5063309.38
2015-10-04,1.02,4943781.29
2015-09-27,1.04,5216784.63
2015-09-20,1.14,4759791.13
2015-09-13,1.13,5106508.12
2015-09-06,1.09,5806392.78
2015-08-30,1.08,5647385.15
2015-08-23,1.18,5193221
2015-08-16,1.11,5616434.08
2015-08-09,1.1,6232081.27
2015-08-02,1.16,5428238.87
2015-07-26,1.13,5557616.27
2015-07-19,1.18,5225200.52
2015-07-12,1.13,5451636.92
2015-07-05,1.12,6718011.83
2015-06-28,1.1,5641742.02
2015-06-21,1.07,5952597.29
2015-06-14,0.97,6741662.31
2015-06-07,0.98,6374842.9
2015-05-31,0.98,6236903.31
2015-05-24,1.1,5621713.64
2015-05-17,1.08,5289138.5
2015-05-10,0.93,6650357.96
2015-05-03,0.88,8567534.49
2015-04-26,1.15,4923565.04
2015-04-19,1.05,5871080.81
2015-04-12,1.06,5636644.51
2015-04-05,1.12,5467155.55
2015-03-29,1.1,5341821.67
2015-03-22,1.06,5571812.77
2015-03-15,1.06,5557163.11
2015-03-08,0.96,5990243.89
2015-03-01,0.84,6700134.25
2015-02-22,0.96,5951871.32
2015-02-15,0.96,5699944.93
2015-02-08,0.91,5871224.58
2015-02-01,0.85,9032180.67
2015-01-25,1.06,4929884.26
2015-01-18,1.02,5570915.26
2015-01-11,0.92,6024932.34
2015-01-04,0.93,5777334.9
2016-12-25,0.94,5414937.46
2016-12-18,0.95,4922621.54
2016-12-11,0.9,5526646.12
2016-12-04,0.98,5062952.53
2016-11-27,1.21,4185900.67
2016-11-20,1.32,4253815.59
2016-11-13,1.48,3848128.2
2016-11-06,1.68,3395058.42
2016-10-30,1.68,3139833.5
2016-10-23,1.39,3899040.66
2016-10-16,1.4,4878037.64
2016-10-09,1.34,5375978.5
2016-10-02,1.19,5652496.31
2016-09-25,1.15,6075588.68
2016-09-18,1.22,5471565.28
2016-09-11,1.12,6059764.51
2016-09-04,1.08,6681646.14
2016-08-28,0.99,6696300.05
2016-08-21,1.05,6308000.34
2016-08-14,1.07,6538335.89
2016-08-07,1.17,6144827.51
2016-07-31,1.22,5947160.29
2016-07-24,1.2,6104047.38
2016-07-17,1.14,6200613.68
2016-07-10,1.08,6721690.88
2016-07-03,1.1,7087455.16
2016-06-26,1.03,6407277.49
2016-06-19,1.06,6528056.18
2016-06-12,1.01,6506234.86
2016-06-05,0.94,7365675.31
2016-05-29,0.98,6700986.44
2016-05-22,0.9,6501981.08
2016-05-15,0.97,6068872.71
2016-05-08,0.79,7808461.74
2016-05-01,0.75,7661483.37
2016-04-24,0.84,6933382.4
2016-04-17,0.93,6397813.48
2016-04-10,0.94,6509000.56
2016-04-03,0.93,6060843.76
2016-03-27,0.93,6603707.93
2016-03-20,0.91,6476206.54
2016-03-13,0.96,6017563.88
2016-03-06,0.92,6429870.23
2016-02-28,0.89,6588277.7
2016-02-21,0.89,6374019.03
2016-02-14,0.82,6807283.15
2016-02-07,0.7,10361698.17
2016-01-31,0.88,6506673.96
2016-01-24,0.88,6246380.73
2016-01-17,0.9,6000013.23
2016-01-10,0.87,6303406.82
2016-01-03,0.73,7730431.28
2017-12-31,0.93,7132711.23
2017-12-24,1.13,5346535.57
2017-12-17,0.98,6205211.05
2017-12-10,1.06,5715712.21
2017-12-03,1.09,5544556
2017-11-26,1.3,4392810
2017-11-19,1.26,4782021
2017-11-12,1.15,5637795
2017-11-05,1.15,5663438.53
2017-10-29,1.2,5714676.89
2017-10-22,1.53,4420877.4
2017-10-15,1.68,4066640.98
2017-10-08,1.74,4151444.41
2017-10-01,1.77,3870633.16
2017-09-24,1.74,3937000.67
2017-09-17,1.72,4167531.38
2017-09-10,1.71,4380657.13
2017-09-03,1.65,4648718.22
2017-08-27,1.78,4360013.67
2017-08-20,1.64,4524974.68
2017-08-13,1.26,5862368.39
2017-08-06,1.36,5655955.05
2017-07-30,1.38,5571000.96
2017-07-23,1.46,5188483.1
2017-07-16,1.49,5405190.35
2017-07-09,1.28,6499668.48
2017-07-02,1.28,6607292.61
2017-06-25,1.15,6999255.87
2017-06-18,1.2,6599048.85
2017-06-11,1.22,6177216.24
2017-06-04,1.2,6507093.57
2017-05-28,1.32,6160751.92
2017-05-21,1.35,5599003.03
2017-05-14,1.17,6370622.3
2017-05-07,1.08,7872203.23
2017-04-30,1.25,5889669.2
2017-04-23,1.26,5637299.78
2017-04-16,1.34,5442086.44
2017-04-09,1.13,6249182.98
2017-04-02,1.22,5719811.06
2017-03-26,1.33,5073070.91
2017-03-19,1.31,5328958.01
2017-03-12,1.31,5208101.86
2017-03-05,1.15,5634150.07
2017-02-26,0.95,6342089.92
2017-02-19,0.95,6194368.66
2017-02-12,0.79,6862176.64
2017-02-05,0.67,11213596.29
2017-01-29,0.76,8055482.07
2017-01-22,0.76,8153340.48
2017-01-15,0.93,6656554.36
2017-01-08,1,6653048.21
